""
cakechat_v1.3_processed_dialogs_gru_hd512_cdim128_drop0.2_encd2_decd2_il30_cs3_ansl32_lr1.0_gc5.0_learnemb
"commit hash: b2dbed5
"
date: 2018-08-31_l15:25
40 maximum tokens in the response
Current perplexity: 11.66
"Batch iteration number 2500
Total elapsed time: 0:33:26
Elapsed time for a batch: 0:00:00
Estimated time for a full dataset pass: 0:00:49
"
 /  / 有 一些 爱人 不 知道 的 小 秘密 。	对 ， 我 也 觉得 天蝎 感觉 很 厉害 。
 /  / 我 也 是 原来 能 吃 属性 都 可以 看到 我会 吃 胖嘛 ？	是 的 。
 /  / 本人 天蝎女 。 两 男 的 。 一天 蝎 ， 一双 鱼 。 都 有意思 。 怎么 选 ？	你 觉得 他 被动 ， 然后 了 就 会 让 他 感觉 你 的 小 秘密 。
 /  / 孝顺 。	不 懂 … … 。
 /  / 想 问 一下 水瓶女 和 天蝎男 要 怎么 相处 啊 ？ 谢谢 。	你 要 学会 主动 。
 /  / 反正 我 不要脸 ， 来 ， 亲 一个 。	你 说 的 就是 看 了 ， 可能 跟 我 一起 玩 。
 /  / 那 就是 对 你 没戏 。	我 觉得 他 是 个 普通 朋友 然后 突然 消失 ？
 /  / 哈哈 ， 我 很 安全 的 他们 不会 打 我 主意 。	你 的 意思 。
 /  / 好 的 。	你 说 的 我 就 不 知道 他 还是 等 我 来 个 去 。
 /  / 哈哈哈哈 ， 咳咳 ， 又 笑 点 了 嘛 ？ 找 个 让 你 冲动 的 。	哈哈 ， 我 知道 你 怎么 说 的 是 个 逗 比 么 ？
 /  / 星座 白羊 上升 月亮 天秤 能 帮 分析 一下 么 看不懂 啊 这有 什么 的 。	你 喜欢 阳光 的 ， 爱 上 。
 /  / 圣诞老人 呗 。	你 没 啥 来 … 我 觉得 我俩 都 能 聊 的 意思 吗 ？
 /  / 跪求 仔细 八 一八 橙女 。	你 这 头像 太 认真 。
 /  / 升鱼 日蝎 月 秤 水蝎 金蝎 火瓶求 点评 ！	喜欢 你 的 人 就是 有 吗 ？
 /  / 金牛女 怎么样 。	不错 哦 。
 /  / 但是 两个 人 已经 有 身体 接触 了 . . . 第一次 见面 就 那样 了 ， 我 比较 喜欢 他 ， 但是 他 的 意思 就是 不 喜欢 我	你 的 意思 是 ， 就是 他 的 兴趣 ， 但是 别 总是 等 着 这个 东西 。
 /  / 摩羯女 和 处女男 呢 ？	挺 好 的 啊 。
 /  / 太阳 狮子 ， 上升 双子 … … 我会 变成 一个 叨 逼 叨 的 人 么 … … … … 。	你 的 小 脾气 ， 要么 喜欢 表达 自己 的 想法 。
 /  / 肯定 是 忘 了 。	我 还 以为 你 的 星座 。
 /  / 天蝎女 和 水瓶男 。	你 觉得 他 很 有趣 的 样子 ， 但是 要 坚持 走 自己 的 情绪 。
 /  / 没 遇到 过 巨蟹 不 知道 和 巨蟹 应该 怎么 相处 。	你 就 知道 他 对 你 喜欢 哪个 。
 /  / 怂 。	怎么 搞定 。
 /  / ^ _ ^ 这 回答 吓 到 我 。 那女 日 白羊 月 天秤 升 双子 ， 金星 双鱼 呢 ？	你 会 过日子 。
 /  / 我 是 日 双子 月 双鱼 升 金牛 金 巨蟹 ex 日 金牛 月 水平 升 天蝎 金 白羊 我 是不是 注定 被 他 虐 死 ！ 他 是 。	你 主动 一点 ， 然后 忽然 他 的 自私 了 。
 /  / 双鱼男 感情 细腻 ， 但是 缺乏 责任感 和 男子 气概 。	谢谢 ， 我 不想 被 骗 的 说 中 了 。
 /  / 你 太 孤僻 了 。	我 是 说 你 的 意思 。
 /  / 天秤男 的 世界 里 永远 没有 结局 。	为什么 呀 哈哈 。
 /  / 狮子男 双鱼女 年龄 相差 六岁 帮忙 分析 下 。	不 知道 。
 /  / 处女女 怎么 把 。	用 你 就 摸摸 他 啊 。
 /  / 露珠 你 太 对 了 ！ ！ ！ 外强中干 到 不行 啊 ～ ～ 和 天秤男 配么 ^ _ ^ 。	看 你 对 他 好 了 。
 /  / 太阳 白羊 升蟹 月 金牛 金 双鱼 是不是 很 分裂 很悲 催 ？	情感 中 ， 骨子里 对 的 人 。
 /  / 行为 跟 处女座 一毛 一样 。	看 了 ～ 露珠 ， 我 是 个 逗 比 。
